seed,algorithm,feedback_mode,stopped,T_stop,exact_oracle_match,stable_train,blocking_pairs_train,resolved_fraction_at_stop,test_mean_score,test_welfare,normalized_test_welfare,n_checks,final_matching,unresolved_critical_final,unresolved_noncritical_final,T_first_oracle_hit,oracle_occupancy,longest_oracle_streak,num_matching_changes,T_first_train_stable,best_test_welfare,oracle_occupancy_after_10k,oracle_occupancy_after_25k,oracle_occupancy_after_50k,oracle_occupancy_after_100k,false_certification,certify_profiles_total,certify_seconds_total,n_certifications,last_certify_profiles_checked,last_certify_search_complete
0,matching_id,replay,False,200000,True,True,0,0.36607142857142855,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,5,279,105728.0,0.15212527964205816,54,66,105728.0,5.476581449254002,0.16,0.17346938775510204,0.20238095238095238,0.30357142857142855,False,208466,78.32154268957675,436,2,True
1,matching_id,replay,False,200000,False,False,1,0.359375,0.6474409246600051,5.179527397280041,0.7445304323244167,447,emorynlp=Qwen3-8B|finqa=gemma-2-9b-it|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,5,282,,0.0,0,73,,5.409003558037667,0.0,0.0,0.0,0.0,False,212452,94.49994567455724,441,2,True
2,matching_id,replay,False,200000,False,False,5,0.3482142857142857,0.6834047882182623,5.467238305746099,1.1064179676645085,447,emorynlp=glm-4-9b-chat|finqa=GLM-Z1-9B-0414|humaneval=Fin-R1|korbench=Intern-S1-mini|math500=Qwen3-8B|mbpp=Qwen2.5-Coder-7B-Instruct|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=gemma-2-9b-it,5,287,,0.0,0,63,,5.497949699615387,0.0,0.0,0.0,0.0,False,131713,87.0986205805093,438,2,True
3,matching_id,replay,False,200000,True,True,0,0.38169642857142855,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,4,273,114240.0,0.2930648769574944,117,108,114240.0,5.488264660245308,0.30823529411764705,0.33418367346938777,0.3898809523809524,0.5848214285714286,False,971184,104.3536283345893,440,2,True
4,matching_id,replay,False,200000,False,False,3,0.3794642857142857,0.6558316757853101,5.246653406282481,0.8289626357630137,447,emorynlp=gemma-2-9b-it|finqa=glm-4-9b-chat|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=Qwen3-8B,5,273,142464.0,0.13870246085011187,45,90,142464.0,5.382632987342154,0.14588235294117646,0.15816326530612246,0.18452380952380953,0.2767857142857143,False,42104,78.1550390580669,442,2,True
5,matching_id,replay,False,200000,False,False,3,0.3705357142857143,0.6482034823063265,5.185627858450612,0.7522036932001557,447,emorynlp=glm-4-9b-chat|finqa=Intern-S1-mini|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=GLM-Z1-9B-0414|math500=DeepSeek-R1-0528-Qwen3-8B|mbpp=Fin-R1|medqa=Qwen3-8B|meld=gemma-2-9b-it,6,276,,0.0,0,115,,5.497949699615387,0.0,0.0,0.0,0.0,False,1887432,133.4137722919695,442,2,True
6,matching_id,replay,False,200000,True,True,0,0.36607142857142855,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,6,278,171584.0,0.116331096196868,25,89,171584.0,5.382632987342154,0.1223529411764706,0.1326530612244898,0.15476190476190477,0.23214285714285715,False,230955,83.80342075647786,442,2,True
7,matching_id,replay,False,200000,True,True,0,0.375,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,5,275,50176.0,0.6331096196868009,115,71,50176.0,5.5905583952675615,0.6658823529411765,0.7219387755102041,0.8422619047619048,0.8125,False,251669,84.6678514671512,440,2,True
8,matching_id,replay,False,200000,True,True,0,0.38839285714285715,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,6,268,5824.0,0.5727069351230425,244,62,5824.0,5.382632987342154,0.5929411764705882,0.6428571428571429,0.7380952380952381,1.0,False,215207,81.91398904332891,439,2,True
9,matching_id,replay,False,200000,True,True,0,0.37276785714285715,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,5,276,29120.0,0.22371364653243847,34,82,29120.0,5.5905583952675615,0.23529411764705882,0.25510204081632654,0.23214285714285715,0.18303571428571427,False,141138,75.41486100200564,443,2,True
