seed,algorithm,feedback_mode,stopped,T_stop,exact_oracle_match,stable_train,blocking_pairs_train,resolved_fraction_at_stop,test_mean_score,test_welfare,normalized_test_welfare,n_checks,final_matching,unresolved_critical_final,unresolved_noncritical_final,T_first_oracle_hit,oracle_occupancy,longest_oracle_streak,num_matching_changes,T_first_train_stable,best_test_welfare,oracle_occupancy_after_10k,oracle_occupancy_after_25k,oracle_occupancy_after_50k,oracle_occupancy_after_100k
0,p2etg,replay,False,200000,True,True,0,0.39285714285714285,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,5,267,102144.0,0.3870246085011186,98,47,102144.0,5.382632987342154,0.40705882352941175,0.4413265306122449,0.5148809523809523,0.7723214285714286
1,p2etg,replay,False,200000,True,True,0,0.38392857142857145,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,6,270,142464.0,0.29082774049217003,130,69,142464.0,5.559847001398272,0.3058823529411765,0.33163265306122447,0.3869047619047619,0.5803571428571429
2,p2etg,replay,False,200000,False,False,3,0.3549107142857143,0.6598291234177692,5.278632987342154,0.8691870813100934,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=GLM-Z1-9B-0414|math500=Intern-S1-mini|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,6,283,,0.0,0,73,,5.29002429168998,0.0,0.0,0.0,0.0
3,p2etg,replay,False,200000,False,False,2,0.3861607142857143,0.6612530364612474,5.29002429168998,0.8835152521699405,447,emorynlp=gemma-2-9b-it|finqa=GLM-Z1-9B-0414|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=Qwen3-8B|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,5,270,,0.0,0,79,,5.497949699615387,0.0,0.0,0.0,0.0
4,p2etg,replay,False,200000,False,False,1,0.35714285714285715,0.6600424065399876,5.280339252319901,0.8713332495966071,447,emorynlp=gemma-2-9b-it|finqa=GLM-Z1-9B-0414|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=DeepSeek-R1-0528-Qwen3-8B|mbpp=Fin-R1|medqa=Qwen3-8B|meld=glm-4-9b-chat,5,283,18816.0,0.203579418344519,22,84,18816.0,5.397238305746099,0.21411764705882352,0.21428571428571427,0.24702380952380953,0.3080357142857143
5,p2etg,replay,False,200000,False,False,2,0.390625,0.6446113171965304,5.156890537572243,0.7160574160902728,447,emorynlp=Qwen3-8B|finqa=glm-4-9b-chat|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=gemma-2-9b-it,6,267,,0.0,0,56,,5.386818580543764,0.0,0.0,0.0,0.0
6,p2etg,replay,False,200000,True,True,0,0.33482142857142855,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,5,293,73472.0,0.5302013422818792,172,66,73472.0,5.429925741555753,0.5576470588235294,0.6045918367346939,0.7053571428571429,0.90625
7,p2etg,replay,False,200000,False,False,1,0.3482142857142857,0.6689901991841082,5.3519215934728654,0.9613707012588757,447,emorynlp=glm-4-9b-chat|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=gemma-2-9b-it,6,286,43456.0,0.16554809843400448,16,75,43456.0,5.382632987342154,0.17411764705882352,0.18877551020408162,0.20238095238095238,0.20982142857142858
8,p2etg,replay,False,200000,False,False,1,0.390625,0.6600424065399876,5.280339252319901,0.8713332495966071,447,emorynlp=gemma-2-9b-it|finqa=GLM-Z1-9B-0414|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=DeepSeek-R1-0528-Qwen3-8B|mbpp=Fin-R1|medqa=Qwen3-8B|meld=glm-4-9b-chat,5,268,,0.0,0,104,,5.455847001398273,0.0,0.0,0.0,0.0
9,p2etg,replay,False,200000,False,False,3,0.3638392857142857,0.6598291234177692,5.278632987342154,0.8691870813100934,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=GLM-Z1-9B-0414|math500=Intern-S1-mini|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,5,280,34944.0,0.16331096196868009,22,82,34944.0,5.476581449254002,0.17176470588235293,0.18622448979591838,0.19047619047619047,0.05357142857142857
10,p2etg,replay,False,200000,False,False,1,0.390625,0.658411971757379,5.267295774059032,0.8549269470853321,447,emorynlp=gemma-2-9b-it|finqa=DeepSeek-R1-0528-Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=Qwen3-8B|meld=glm-4-9b-chat,6,267,42112.0,0.4966442953020134,143,63,42112.0,5.488264660245308,0.5223529411764706,0.5663265306122449,0.6517857142857143,0.71875
11,p2etg,replay,False,200000,False,False,1,0.39955357142857145,0.6802622604561694,5.4420980836493555,1.0747961808473214,447,emorynlp=Fin-R1|finqa=Qwen3-8B|humaneval=glm-4-9b-chat|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Qwen2.5-Coder-7B-Instruct|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=gemma-2-9b-it,5,264,,0.0,0,51,,5.501612253689841,0.0,0.0,0.0,0.0
12,p2etg,replay,False,200000,False,False,1,0.37723214285714285,0.6600424065399876,5.280339252319901,0.8713332495966071,447,emorynlp=gemma-2-9b-it|finqa=GLM-Z1-9B-0414|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=DeepSeek-R1-0528-Qwen3-8B|mbpp=Fin-R1|medqa=Qwen3-8B|meld=glm-4-9b-chat,6,273,8064.0,0.0044742729306487695,2,86,8064.0,5.4420980836493555,0.0,0.0,0.0,0.0
13,p2etg,replay,False,200000,False,False,4,0.38392857142857145,0.6444052103742909,5.155241682994327,0.7139834595534225,447,emorynlp=GLM-Z1-9B-0414|finqa=gemma-2-9b-it|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=Qwen3-8B|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,4,272,,0.0,0,65,,5.5905583952675615,0.0,0.0,0.0,0.0
14,p2etg,replay,False,200000,False,False,3,0.3705357142857143,0.6845726811567503,5.476581449254002,1.1181699279722732,447,emorynlp=gemma-2-9b-it|finqa=Fin-R1|humaneval=glm-4-9b-chat|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Qwen2.5-Coder-7B-Instruct|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=Qwen3-8B,6,276,32704.0,0.16331096196868009,22,93,32704.0,5.476581449254002,0.17176470588235293,0.18622448979591838,0.13988095238095238,0.03571428571428571
15,p2etg,replay,False,200000,True,True,0,0.3794642857142857,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,5,273,145152.0,0.04697986577181208,16,66,145152.0,5.5905583952675615,0.04941176470588235,0.05357142857142857,0.0625,0.09375
16,p2etg,replay,False,200000,False,False,3,0.3549107142857143,0.6845726811567503,5.476581449254002,1.1181699279722732,447,emorynlp=gemma-2-9b-it|finqa=Fin-R1|humaneval=glm-4-9b-chat|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Qwen2.5-Coder-7B-Instruct|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=Qwen3-8B,6,283,145152.0,0.07829977628635347,16,97,145152.0,5.476581449254002,0.08235294117647059,0.08928571428571429,0.10416666666666667,0.15625
17,p2etg,replay,False,200000,False,False,1,0.38839285714285715,0.6689901991841082,5.3519215934728654,0.9613707012588757,447,emorynlp=glm-4-9b-chat|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=gemma-2-9b-it,5,269,170688.0,0.015659955257270694,3,98,170688.0,5.4372383057460985,0.01647058823529412,0.017857142857142856,0.020833333333333332,0.03125
18,p2etg,replay,False,200000,False,False,3,0.3705357142857143,0.6574141122275864,5.259312897820691,0.8448859534288162,447,emorynlp=glm-4-9b-chat|finqa=GLM-Z1-9B-0414|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=Qwen3-8B|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=gemma-2-9b-it,5,277,,0.0,0,101,,5.559847001398272,0.0,0.0,0.0,0.0
19,p2etg,replay,False,200000,False,False,1,0.36607142857142855,0.6689901991841082,5.3519215934728654,0.9613707012588757,447,emorynlp=glm-4-9b-chat|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=gemma-2-9b-it,6,278,103936.0,0.2214765100671141,98,50,103936.0,5.382632987342154,0.23294117647058823,0.25255102040816324,0.29464285714285715,0.4419642857142857
