side,agent,partner_1,partner_2,base_gap,bootstrap_flip_probability
task,emorynlp,DeepSeek-R1-0528-Qwen3-8B,Fin-R1,0.011961722488038284,0.326
task,emorynlp,DeepSeek-R1-0528-Qwen3-8B,GLM-Z1-9B-0414,0.031100478468899517,0.086
task,emorynlp,DeepSeek-R1-0528-Qwen3-8B,Intern-S1-mini,0.02631578947368418,0.128
task,emorynlp,DeepSeek-R1-0528-Qwen3-8B,Qwen2.5-Coder-7B-Instruct,0.023923444976076513,0.144
task,emorynlp,DeepSeek-R1-0528-Qwen3-8B,Qwen3-8B,0.007177033492823004,0.376
task,emorynlp,DeepSeek-R1-0528-Qwen3-8B,gemma-2-9b-it,0.002392344497607668,0.462
task,emorynlp,DeepSeek-R1-0528-Qwen3-8B,glm-4-9b-chat,0.0,0.972
task,emorynlp,Fin-R1,GLM-Z1-9B-0414,0.019138755980861233,0.248
task,emorynlp,Fin-R1,Intern-S1-mini,0.014354066985645897,0.314
task,emorynlp,Fin-R1,Qwen2.5-Coder-7B-Instruct,0.011961722488038229,0.308
task,emorynlp,Fin-R1,Qwen3-8B,0.01913875598086129,0.232
task,emorynlp,Fin-R1,gemma-2-9b-it,0.014354066985645952,0.282
task,emorynlp,Fin-R1,glm-4-9b-chat,0.011961722488038284,0.37
task,emorynlp,GLM-Z1-9B-0414,Intern-S1-mini,0.004784688995215336,0.384
task,emorynlp,GLM-Z1-9B-0414,Qwen2.5-Coder-7B-Instruct,0.007177033492823004,0.418
task,emorynlp,GLM-Z1-9B-0414,Qwen3-8B,0.03827751196172252,0.04
task,emorynlp,GLM-Z1-9B-0414,gemma-2-9b-it,0.033492822966507185,0.084
task,emorynlp,GLM-Z1-9B-0414,glm-4-9b-chat,0.031100478468899517,0.132
task,emorynlp,Intern-S1-mini,Qwen2.5-Coder-7B-Instruct,0.002392344497607668,0.536
task,emorynlp,Intern-S1-mini,Qwen3-8B,0.033492822966507185,0.072
task,emorynlp,Intern-S1-mini,gemma-2-9b-it,0.02870813397129185,0.122
task,emorynlp,Intern-S1-mini,glm-4-9b-chat,0.02631578947368418,0.192
task,emorynlp,Qwen2.5-Coder-7B-Instruct,Qwen3-8B,0.031100478468899517,0.074
task,emorynlp,Qwen2.5-Coder-7B-Instruct,gemma-2-9b-it,0.02631578947368418,0.136
task,emorynlp,Qwen2.5-Coder-7B-Instruct,glm-4-9b-chat,0.023923444976076513,0.162
task,emorynlp,Qwen3-8B,gemma-2-9b-it,0.004784688995215336,0.436
task,emorynlp,Qwen3-8B,glm-4-9b-chat,0.007177033492823004,0.42
task,emorynlp,gemma-2-9b-it,glm-4-9b-chat,0.002392344497607668,0.516
task,finqa,DeepSeek-R1-0528-Qwen3-8B,Fin-R1,0.018895348837209336,0.062
task,finqa,DeepSeek-R1-0528-Qwen3-8B,GLM-Z1-9B-0414,0.023255813953488413,0.042
task,finqa,DeepSeek-R1-0528-Qwen3-8B,Intern-S1-mini,0.007267441860465129,0.284
task,finqa,DeepSeek-R1-0528-Qwen3-8B,Qwen2.5-Coder-7B-Instruct,0.0683139534883721,0.0
task,finqa,DeepSeek-R1-0528-Qwen3-8B,Qwen3-8B,0.024709302325581328,0.026
task,finqa,DeepSeek-R1-0528-Qwen3-8B,gemma-2-9b-it,0.06976744186046513,0.0
task,finqa,DeepSeek-R1-0528-Qwen3-8B,glm-4-9b-chat,0.14534883720930236,0.0
task,finqa,Fin-R1,GLM-Z1-9B-0414,0.0043604651162790775,0.424
task,finqa,Fin-R1,Intern-S1-mini,0.011627906976744207,0.238
task,finqa,Fin-R1,Qwen2.5-Coder-7B-Instruct,0.04941860465116277,0.002
task,finqa,Fin-R1,Qwen3-8B,0.043604651162790664,0.002
task,finqa,Fin-R1,gemma-2-9b-it,0.05087209302325579,0.002
task,finqa,Fin-R1,glm-4-9b-chat,0.12645348837209303,0.0
task,finqa,GLM-Z1-9B-0414,Intern-S1-mini,0.015988372093023284,0.138
task,finqa,GLM-Z1-9B-0414,Qwen2.5-Coder-7B-Instruct,0.04505813953488369,0.004
task,finqa,GLM-Z1-9B-0414,Qwen3-8B,0.04796511627906974,0.0
task,finqa,GLM-Z1-9B-0414,gemma-2-9b-it,0.046511627906976716,0.004
