seed,algorithm,feedback_mode,stopped,T_stop,exact_oracle_match,stable_train,blocking_pairs_train,resolved_fraction_at_stop,test_mean_score,test_welfare,normalized_test_welfare,n_checks,final_matching,unresolved_critical_final,unresolved_noncritical_final,T_first_oracle_hit,oracle_occupancy,longest_oracle_streak,num_matching_changes,T_first_train_stable,best_test_welfare,oracle_occupancy_after_10k,oracle_occupancy_after_25k,oracle_occupancy_after_50k,oracle_occupancy_after_100k
0,preflid,bt,False,1200,False,False,1,0.5416666666666666,0.6548227210703339,2.6192908842813356,0.801343046187361,200,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,1,21,,0.0,0,199,,,,,,
1,preflid,bt,False,1200,True,True,0,0.5625,0.6821053297659861,2.7284213190639446,1.0,200,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,1,20,,0.0,0,199,,,,,,
2,preflid,bt,False,1200,False,False,1,0.4791666666666667,0.6548227210703339,2.6192908842813356,0.801343046187361,200,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,2,23,,0.0,0,199,,,,,,
3,preflid,bt,False,1200,True,True,0,0.4791666666666667,0.6821053297659861,2.7284213190639446,1.0,200,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,2,23,,0.0,0,199,,,,,,
4,preflid,bt,False,1200,False,False,1,0.6666666666666666,0.6548227210703339,2.6192908842813356,0.801343046187361,200,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,2,14,,0.0,0,199,,,,,,
5,preflid,bt,False,1200,True,True,0,0.5,0.6821053297659861,2.7284213190639446,1.0,200,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,2,22,,0.0,0,199,,,,,,
6,preflid,bt,False,1200,True,True,0,0.5833333333333334,0.6821053297659861,2.7284213190639446,1.0,200,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,1,19,,0.0,0,199,,,,,,
7,preflid,bt,False,1200,True,True,0,0.6458333333333334,0.6821053297659861,2.7284213190639446,1.0,200,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,2,15,,0.0,0,199,,,,,,
8,preflid,bt,False,1200,False,False,1,0.6041666666666666,0.6548227210703339,2.6192908842813356,0.801343046187361,200,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,0,19,,0.0,0,199,,,,,,
9,preflid,bt,False,1200,True,True,0,0.6041666666666666,0.6821053297659861,2.7284213190639446,1.0,200,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,1,18,,0.0,0,199,,,,,,
