seed,algorithm,feedback_mode,stopped,T_stop,exact_oracle_match,stable_train,blocking_pairs_train,resolved_fraction_at_stop,test_mean_score,test_welfare,normalized_test_welfare,n_checks,final_matching,unresolved_critical_final,unresolved_noncritical_final,T_first_oracle_hit,oracle_occupancy,longest_oracle_streak,num_matching_changes,T_first_train_stable,best_test_welfare,oracle_occupancy_after_10k,oracle_occupancy_after_25k,oracle_occupancy_after_50k,oracle_occupancy_after_100k,false_certification,certify_profiles_total,certify_seconds_total,n_certifications,last_certify_profiles_checked,last_certify_search_complete
0,matching_id,bt,False,100000,True,True,0,0.8541666666666666,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,3144,0.9673626109911208,4009,9,3144,2.7284213190639446,1.0,1.0,1.0,1.0,False,1427,0.04389896476641297,214,2,True
1,matching_id,bt,False,100000,True,True,0,0.8333333333333334,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,48,0.9541636669066474,2967,29,48,2.7284213190639446,0.982138096507598,0.9952015355086372,1.0,1.0,False,957,0.043255218770354986,280,2,True
2,matching_id,bt,False,100000,True,True,0,0.8541666666666666,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,216,0.9692824574034077,3667,15,216,2.7284213190639446,0.977605971740869,1.0,1.0,1.0,False,1225,0.040265669114887714,204,2,True
3,matching_id,bt,False,100000,True,True,0,0.8333333333333334,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,288,0.9793616510679146,2854,18,288,2.7284213190639446,0.996534257531325,0.999360204734485,0.9990403071017274,1.0,False,1265,0.034472654573619366,181,2,True
4,matching_id,bt,False,100000,True,True,0,0.8333333333333334,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,1584,0.9628029757619391,3698,16,1584,2.7284213190639446,0.9930685150626499,1.0,1.0,1.0,False,1557,0.041184999980032444,199,2,True
5,matching_id,bt,False,100000,True,True,0,0.8541666666666666,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,288,0.7741780657547396,859,63,288,2.7284213190639446,0.790989069581445,0.8592450415866922,0.9678502879078695,1.0,False,1259,0.04204411571845412,245,2,True
6,matching_id,bt,False,100000,False,False,1,0.8333333333333334,0.6548227210703339,2.6192908842813356,0.801343046187361,4167,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,,,48,0.07151427885769139,289,8,48,2.7284213190639446,0.0007997867235403892,0.0,0.0,0.0,False,1265,0.0364384138956666,181,2,True
7,matching_id,bt,False,100000,True,True,0,0.8541666666666666,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,96,0.941444684425246,2491,26,96,2.7284213190639446,0.9544121567581978,0.9452975047984645,1.0,1.0,False,1030,0.041326872538775206,236,2,True
8,matching_id,bt,False,100000,True,True,0,0.8541666666666666,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,24,0.9464842812574994,2113,26,24,2.7284213190639446,0.9949346840842442,0.999360204734485,1.0,1.0,False,1514,0.04112891433760524,186,2,True
9,matching_id,bt,False,100000,True,True,0,0.8125,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,648,0.931605471562275,3876,11,648,2.7284213190639446,1.0,1.0,1.0,1.0,False,755,0.02928695874288678,187,2,True
10,matching_id,bt,False,100000,True,True,0,0.8541666666666666,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,48,0.9995200383969283,4164,3,48,2.7284213190639446,1.0,1.0,1.0,1.0,False,889,0.029258993454277515,152,2,True
11,matching_id,bt,False,100000,False,False,1,0.875,0.6548227210703339,2.6192908842813356,0.801343046187361,4167,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,,,168,0.008879289656827454,30,8,168,2.7284213190639446,0.0,0.0,0.0,0.0,False,2847,0.055169621016830206,204,2,True
12,matching_id,bt,False,100000,False,False,1,0.8541666666666666,0.6548227210703339,2.6192908842813356,0.801343046187361,4167,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,,,240,0.30597552195824335,392,81,240,2.7284213190639446,0.2476672887230072,0.26263595649392196,0.3498080614203455,0.0,False,933,0.0328073431737721,191,2,True
