matching,count,frequency,is_train_oracle
emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,287,0.574,True
emorynlp=gemma-2-9b-it|finqa=Intern-S1-mini|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=GLM-Z1-9B-0414|math500=DeepSeek-R1-0528-Qwen3-8B|mbpp=Fin-R1|medqa=Qwen3-8B|meld=glm-4-9b-chat,60,0.12,False
emorynlp=glm-4-9b-chat|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=gemma-2-9b-it,47,0.094,False
emorynlp=gemma-2-9b-it|finqa=Intern-S1-mini|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=GLM-Z1-9B-0414|math500=Qwen3-8B|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,15,0.03,False
emorynlp=Fin-R1|finqa=Qwen3-8B|humaneval=glm-4-9b-chat|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Qwen2.5-Coder-7B-Instruct|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=gemma-2-9b-it,15,0.03,False
emorynlp=glm-4-9b-chat|finqa=Intern-S1-mini|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=GLM-Z1-9B-0414|math500=DeepSeek-R1-0528-Qwen3-8B|mbpp=Fin-R1|medqa=Qwen3-8B|meld=gemma-2-9b-it,14,0.028,False
emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Fin-R1|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Qwen2.5-Coder-7B-Instruct|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,13,0.026,False
emorynlp=gemma-2-9b-it|finqa=Fin-R1|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=DeepSeek-R1-0528-Qwen3-8B|mbpp=GLM-Z1-9B-0414|medqa=Qwen3-8B|meld=glm-4-9b-chat,5,0.01,False
emorynlp=gemma-2-9b-it|finqa=GLM-Z1-9B-0414|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=DeepSeek-R1-0528-Qwen3-8B|mbpp=Fin-R1|medqa=Qwen3-8B|meld=glm-4-9b-chat,5,0.01,False
emorynlp=gemma-2-9b-it|finqa=DeepSeek-R1-0528-Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=Qwen3-8B|meld=glm-4-9b-chat,5,0.01,False
emorynlp=Fin-R1|finqa=Intern-S1-mini|humaneval=glm-4-9b-chat|korbench=GLM-Z1-9B-0414|math500=DeepSeek-R1-0528-Qwen3-8B|mbpp=Qwen2.5-Coder-7B-Instruct|medqa=Qwen3-8B|meld=gemma-2-9b-it,4,0.008,False
emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=GLM-Z1-9B-0414|math500=Intern-S1-mini|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,4,0.008,False
emorynlp=gemma-2-9b-it|finqa=Intern-S1-mini|humaneval=Fin-R1|korbench=GLM-Z1-9B-0414|math500=DeepSeek-R1-0528-Qwen3-8B|mbpp=Qwen2.5-Coder-7B-Instruct|medqa=Qwen3-8B|meld=glm-4-9b-chat,3,0.006,False
emorynlp=glm-4-9b-chat|finqa=GLM-Z1-9B-0414|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=DeepSeek-R1-0528-Qwen3-8B|mbpp=Fin-R1|medqa=Qwen3-8B|meld=gemma-2-9b-it,3,0.006,False
emorynlp=gemma-2-9b-it|finqa=Fin-R1|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=Qwen3-8B|mbpp=GLM-Z1-9B-0414|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,2,0.004,False
emorynlp=glm-4-9b-chat|finqa=Intern-S1-mini|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=DeepSeek-R1-0528-Qwen3-8B|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=Qwen3-8B|meld=gemma-2-9b-it,2,0.004,False
emorynlp=gemma-2-9b-it|finqa=GLM-Z1-9B-0414|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=Qwen3-8B|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,2,0.004,False
emorynlp=glm-4-9b-chat|finqa=Intern-S1-mini|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=GLM-Z1-9B-0414|math500=Qwen3-8B|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=gemma-2-9b-it,1,0.002,False
emorynlp=glm-4-9b-chat|finqa=DeepSeek-R1-0528-Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=Qwen3-8B|meld=gemma-2-9b-it,1,0.002,False
emorynlp=GLM-Z1-9B-0414|finqa=Fin-R1|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=DeepSeek-R1-0528-Qwen3-8B|mbpp=glm-4-9b-chat|medqa=Qwen3-8B|meld=gemma-2-9b-it,1,0.002,False
emorynlp=GLM-Z1-9B-0414|finqa=Fin-R1|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=Qwen3-8B|mbpp=glm-4-9b-chat|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=gemma-2-9b-it,1,0.002,False
emorynlp=glm-4-9b-chat|finqa=Fin-R1|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=Qwen3-8B|mbpp=GLM-Z1-9B-0414|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=gemma-2-9b-it,1,0.002,False
emorynlp=GLM-Z1-9B-0414|finqa=Fin-R1|humaneval=glm-4-9b-chat|korbench=Intern-S1-mini|math500=DeepSeek-R1-0528-Qwen3-8B|mbpp=Qwen2.5-Coder-7B-Instruct|medqa=Qwen3-8B|meld=gemma-2-9b-it,1,0.002,False
emorynlp=glm-4-9b-chat|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=GLM-Z1-9B-0414|math500=Intern-S1-mini|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=gemma-2-9b-it,1,0.002,False
emorynlp=gemma-2-9b-it|finqa=Intern-S1-mini|humaneval=glm-4-9b-chat|korbench=GLM-Z1-9B-0414|math500=DeepSeek-R1-0528-Qwen3-8B|mbpp=Qwen2.5-Coder-7B-Instruct|medqa=Qwen3-8B|meld=Fin-R1,1,0.002,False
emorynlp=GLM-Z1-9B-0414|finqa=Fin-R1|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=DeepSeek-R1-0528-Qwen3-8B|mbpp=gemma-2-9b-it|medqa=Qwen3-8B|meld=glm-4-9b-chat,1,0.002,False
emorynlp=glm-4-9b-chat|finqa=Fin-R1|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=DeepSeek-R1-0528-Qwen3-8B|mbpp=GLM-Z1-9B-0414|medqa=Qwen3-8B|meld=gemma-2-9b-it,1,0.002,False
emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=glm-4-9b-chat|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Qwen2.5-Coder-7B-Instruct|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=Fin-R1,1,0.002,False
emorynlp=glm-4-9b-chat|finqa=Intern-S1-mini|humaneval=Fin-R1|korbench=GLM-Z1-9B-0414|math500=DeepSeek-R1-0528-Qwen3-8B|mbpp=Qwen2.5-Coder-7B-Instruct|medqa=Qwen3-8B|meld=gemma-2-9b-it,1,0.002,False
emorynlp=Qwen3-8B|finqa=Fin-R1|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=glm-4-9b-chat|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=gemma-2-9b-it,1,0.002,False
emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=GLM-Z1-9B-0414|math500=DeepSeek-R1-0528-Qwen3-8B|mbpp=Fin-R1|medqa=Intern-S1-mini|meld=glm-4-9b-chat,1,0.002,False
