N,K,seed,stopped,T_stop,correct_at_stop,oracle_str,committed_str,final_regret,stable_under_truth,stable_under_hat,reason_truth,reason_hat,constant
8,8,0,False,100000,1,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",72500,1,1,,,0.25
8,8,1,False,100000,0,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-finqa), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-math500), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",99850,0,1,"Blocking pair: (GLM-Z1-9B-0414, math500)",,0.25
8,8,2,False,100000,0,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-mbpp), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-humaneval), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",93475,0,1,"Blocking pair: (Qwen2.5-Coder-7B-Instruct, mbpp)",,0.25
8,8,3,False,100000,1,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",81650,1,1,,,0.25
8,8,4,False,100000,1,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",62225,1,1,,,0.25
8,8,5,False,100000,1,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",39250,1,1,,,0.25
8,8,6,False,100000,0,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-math500), (Fin-R1-humaneval), (GLM-Z1-9B-0414-finqa), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-medqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",100000,0,1,"Blocking pair: (GLM-Z1-9B-0414, math500)",,0.25
8,8,7,False,100000,1,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",3900,1,1,,,0.25
8,8,8,False,100000,0,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-math500), (Fin-R1-humaneval), (GLM-Z1-9B-0414-finqa), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-medqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",44175,0,1,"Blocking pair: (GLM-Z1-9B-0414, math500)",,0.25
8,8,9,False,100000,1,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",9975,1,1,,,0.25
