seed,algorithm,feedback_mode,stopped,T_stop,exact_oracle_match,stable_train,blocking_pairs_train,resolved_fraction_at_stop,test_mean_score,test_welfare,normalized_test_welfare,n_checks,final_matching,unresolved_critical_final,unresolved_noncritical_final,T_first_oracle_hit,oracle_occupancy,longest_oracle_streak,num_matching_changes,T_first_train_stable,best_test_welfare,oracle_occupancy_after_10k,oracle_occupancy_after_25k,oracle_occupancy_after_50k,oracle_occupancy_after_100k,false_certification,certify_profiles_total,certify_seconds_total,n_certifications,last_certify_profiles_checked,last_certify_search_complete
0,matching_id,replay,False,10000,True,True,0,0.4583333333333333,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,1,25,168,0.86810551558753,360,12,168,2.7284213190639446,1.0,,,,False,1467,0.04621571535244584,202,18,True
1,matching_id,replay,False,10000,True,True,0,0.4583333333333333,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,2,24,264,0.6786570743405276,207,36,264,2.7284213190639446,1.0,,,,False,817,0.03799800551496446,213,2,True
2,matching_id,replay,False,10000,False,False,1,0.4791666666666667,0.6548227210703339,2.6192908842813356,0.801343046187361,417,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,2,23,624,0.03117505995203837,11,23,624,2.7284213190639446,0.0,,,,False,1075,0.042354246601462364,206,2,True
3,matching_id,replay,False,10000,False,False,1,0.3958333333333333,0.6380573182267321,2.5522292729069282,0.6792666019768608,417,finqa=Fin-R1|livecodebench=Qwen2.5-Coder-7B-Instruct|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-UltraMedical,2,27,7800,0.011990407673860911,2,41,7800,2.7284213190639446,0.0,,,,False,829,0.04553262353874743,220,2,True
4,matching_id,replay,False,10000,True,True,0,0.4375,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,2,25,2088,0.645083932853717,246,32,2088,2.7284213190639446,1.0,,,,False,660,0.03532329294830561,185,2,True
5,matching_id,replay,False,10000,True,True,0,0.4375,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,2,25,696,0.5443645083932853,193,35,696,2.7284213190639446,1.0,,,,False,1565,0.048342571360990405,215,2,True
6,matching_id,replay,False,10000,True,True,0,0.5208333333333334,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,2,21,72,0.9808153477218226,390,8,72,2.7284213190639446,1.0,,,,False,636,0.0358877491671592,213,2,True
7,matching_id,replay,False,10000,True,True,0,0.4375,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,2,25,1272,0.8705035971223022,361,8,1272,2.7284213190639446,1.0,,,,False,2317,0.05779183772392571,214,2,True
8,matching_id,replay,False,10000,True,True,0,0.4583333333333333,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,2,24,1680,0.8345323741007195,348,12,1680,2.7284213190639446,1.0,,,,False,25849,0.3024069583043456,165,2,True
9,matching_id,replay,False,10000,False,False,1,0.5625,0.6548227210703339,2.6192908842813356,0.801343046187361,417,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,2,19,4896,0.39568345323741005,82,47,4896,2.7284213190639446,0.0,,,,False,1071,0.04528673971071839,214,2,True
