seed,algorithm,feedback_mode,stopped,T_stop,exact_oracle_match,stable_train,blocking_pairs_train,resolved_fraction_at_stop,test_mean_score,test_welfare,normalized_test_welfare,n_checks,final_matching,unresolved_critical_final,unresolved_noncritical_final,T_first_oracle_hit,oracle_occupancy,longest_oracle_streak,num_matching_changes,T_first_train_stable,best_test_welfare,oracle_occupancy_after_10k,oracle_occupancy_after_25k,oracle_occupancy_after_50k,oracle_occupancy_after_100k
0,preflid,replay,False,1200,True,True,0,0.25,0.6821053297659861,2.7284213190639446,1.0,200,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,2,34,,0.0,0,199,,,,,,
1,preflid,replay,False,1200,False,False,4,0.2708333333333333,0.5711270486151111,2.2845081944604444,0.1919171836266231,200,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=Llama-3.1-8B-UltraMedical|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Fin-R1,2,33,,0.0,0,199,,,,,,
2,preflid,replay,False,1200,False,False,3,0.2916666666666667,0.5865355790962973,2.346142316385189,0.30411362943825276,200,finqa=DeepSeek-R1-0528-Qwen3-8B|livecodebench=Qwen2.5-Coder-7B-Instruct|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,1,33,,0.0,0,199,,,,,,
3,preflid,replay,False,1200,True,True,0,0.1875,0.6821053297659861,2.7284213190639446,1.0,200,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,1,38,,0.0,0,199,,,,,,
4,preflid,replay,False,1200,False,False,1,0.3333333333333333,0.6380573182267321,2.5522292729069282,0.6792666019768608,200,finqa=Fin-R1|livecodebench=Qwen2.5-Coder-7B-Instruct|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-UltraMedical,3,29,,0.0,0,199,,,,,,
5,preflid,replay,False,1200,True,True,0,0.20833333333333334,0.6821053297659861,2.7284213190639446,1.0,200,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,2,36,,0.0,0,199,,,,,,
6,preflid,replay,False,1200,False,False,3,0.22916666666666666,0.5695223913773606,2.2780895655094424,0.18023295202249073,200,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=Fin-R1|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-UltraMedical,3,34,,0.0,0,199,,,,,,
7,preflid,replay,False,1200,False,False,1,0.125,0.6380573182267321,2.5522292729069282,0.6792666019768608,200,finqa=Fin-R1|livecodebench=Qwen2.5-Coder-7B-Instruct|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-UltraMedical,2,40,,0.0,0,199,,,,,,
8,preflid,replay,False,1200,False,False,3,0.22916666666666666,0.5421258706766332,2.168503482706533,-0.01925344637088318,200,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Llama-3.1-8B-UltraMedical|medqa=Qwen2.5-Coder-7B-Instruct,1,36,,0.0,0,199,,,,,,
9,preflid,replay,False,1200,False,False,3,0.22916666666666666,0.5605758675127488,2.242303470050995,0.11508928493470635,200,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=Llama-3.1-8B-UltraMedical|math500=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B,3,34,,0.0,0,199,,,,,,
10,preflid,replay,False,1200,False,False,1,0.2708333333333333,0.6380573182267321,2.5522292729069282,0.6792666019768608,200,finqa=Fin-R1|livecodebench=Qwen2.5-Coder-7B-Instruct|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-UltraMedical,2,33,,0.0,0,199,,,,,,
11,preflid,replay,False,1200,False,False,1,0.20833333333333334,0.6380573182267321,2.5522292729069282,0.6792666019768608,200,finqa=Fin-R1|livecodebench=Qwen2.5-Coder-7B-Instruct|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-UltraMedical,3,35,,0.0,0,199,,,,,,
12,preflid,replay,False,1200,False,False,4,0.22916666666666666,0.6176008792353459,2.4704035169413836,0.5303140622393219,200,finqa=Llama-3.1-8B-UltraMedical|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Fin-R1,2,35,,0.0,0,199,,,,,,
13,preflid,replay,False,1200,False,False,1,0.125,0.6548227210703339,2.6192908842813356,0.801343046187361,200,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,3,39,,0.0,0,199,,,,,,
14,preflid,replay,False,1200,False,False,4,0.22916666666666666,0.6176008792353459,2.4704035169413836,0.5303140622393219,200,finqa=Llama-3.1-8B-UltraMedical|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Fin-R1,2,35,,0.0,0,199,,,,,,
15,preflid,replay,False,1200,True,True,0,0.14583333333333334,0.6821053297659861,2.7284213190639446,1.0,200,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,2,39,,0.0,0,199,,,,,,
16,preflid,replay,False,1200,False,False,1,0.14583333333333334,0.6380573182267321,2.5522292729069282,0.6792666019768608,200,finqa=Fin-R1|livecodebench=Qwen2.5-Coder-7B-Instruct|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-UltraMedical,2,39,,0.0,0,199,,,,,,
17,preflid,replay,False,1200,False,False,3,0.16666666666666666,0.5695223913773606,2.2780895655094424,0.18023295202249073,200,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=Fin-R1|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-UltraMedical,3,37,,0.0,0,199,,,,,,
18,preflid,replay,False,1200,False,False,4,0.25,0.5711270486151111,2.2845081944604444,0.1919171836266231,200,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=Llama-3.1-8B-UltraMedical|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Fin-R1,2,34,,0.0,0,199,,,,,,
19,preflid,replay,False,1200,False,False,1,0.25,0.6548227210703339,2.6192908842813356,0.801343046187361,200,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,3,33,,0.0,0,199,,,,,,
