seed,algorithm,feedback_mode,stopped,T_stop,exact_oracle_match,stable_train,blocking_pairs_train,resolved_fraction_at_stop,test_mean_score,test_welfare,normalized_test_welfare,n_checks,final_matching,unresolved_critical_final,unresolved_noncritical_final,T_first_oracle_hit,oracle_occupancy,longest_oracle_streak,num_matching_changes,T_first_train_stable,best_test_welfare,oracle_occupancy_after_10k,oracle_occupancy_after_25k,oracle_occupancy_after_50k,oracle_occupancy_after_100k,false_certification,certify_profiles_total,certify_seconds_total,n_certifications,last_certify_profiles_checked,last_certify_search_complete
0,p2etg,bt,False,200000,True,True,0,0.8325892857142857,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,2,73,448.0,0.4832214765100671,120,17,448.0,5.476581449254002,0.48,0.4362244897959184,0.3720238095238095,0.5580357142857143,,,,,,
1,p2etg,bt,False,200000,True,True,0,0.8191964285714286,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,1,80,8960.0,0.9507829977628636,379,12,8960.0,5.409003558037667,0.9929411764705882,0.9948979591836736,1.0,1.0,,,,,,
2,p2etg,bt,False,200000,True,True,0,0.8169642857142857,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,2,80,1344.0,0.9172259507829976,276,14,1344.0,5.382632987342154,0.9623529411764706,0.9744897959183674,0.9702380952380952,1.0,,,,,,
3,p2etg,bt,False,200000,True,True,0,0.828125,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,1,76,1792.0,0.9552572706935124,418,8,1792.0,5.382632987342154,0.983529411764706,1.0,1.0,1.0,,,,,,
4,p2etg,bt,False,200000,True,True,0,0.84375,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,1,69,15232.0,0.8881431767337807,386,29,15232.0,5.488264660245308,0.9341176470588236,0.9846938775510204,1.0,1.0,,,,,,
5,p2etg,bt,False,200000,True,True,0,0.84375,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,1,69,17024.0,0.912751677852349,355,13,17024.0,5.382632987342154,0.96,0.9948979591836736,1.0,1.0,,,,,,
6,p2etg,bt,False,200000,True,True,0,0.8236607142857143,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,1,78,15232.0,0.9261744966442952,414,13,15232.0,5.382632987342154,0.9741176470588236,1.0,1.0,1.0,,,,,,
7,p2etg,bt,False,200000,True,True,0,0.8370535714285714,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,2,71,3136.0,0.4183445190156599,116,21,3136.0,5.382632987342154,0.4329411764705882,0.4693877551020408,0.5476190476190477,0.7142857142857143,,,,,,
8,p2etg,bt,False,200000,True,True,0,0.8370535714285714,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,1,72,5824.0,0.96420581655481,426,10,5824.0,5.497949699615387,1.0,1.0,1.0,1.0,,,,,,
9,p2etg,bt,False,200000,True,True,0,0.8348214285714286,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,2,72,2688.0,0.9507829977628636,405,9,2688.0,5.382632987342154,0.9670588235294116,1.0,1.0,1.0,,,,,,
