seed,feedback_mode,algorithm,t,matching,exact_oracle_match,train_stable,train_blocking_pairs,test_welfare,test_mean_score,pairwise_resolved_fraction,stopped
0,bt,p2etg,448,bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Qwen2.5-Coder-7B-Instruct|korbench=Qwen3-8B|livecodebench=NVIDIA-Nemotron-Nano-9B-v2|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical|meld=Llama-3.1-8B-Instruct|mmlupro=gemma-2-9b-it,False,False,5,5.152281391735193,0.6440351739668991,0.0,False
0,bt,p2etg,896,bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Llama-3.1-8B-Instruct|korbench=Qwen3-8B|livecodebench=NVIDIA-Nemotron-Nano-9B-v2|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,False,False,5,5.099508992509704,0.637438624063713,0.0,False
0,bt,p2etg,1344,bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Qwen2.5-Coder-7B-Instruct|korbench=Qwen3-8B|livecodebench=NVIDIA-Nemotron-Nano-9B-v2|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical|meld=Llama-3.1-8B-Instruct|mmlupro=gemma-2-9b-it,False,False,5,5.152281391735193,0.6440351739668991,0.0,False
0,bt,p2etg,1792,bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Qwen2.5-Coder-7B-Instruct|korbench=Qwen3-8B|livecodebench=NVIDIA-Nemotron-Nano-9B-v2|math500=Fin-R1|medqa=Llama-3.1-8B-Instruct|meld=Llama-3.1-8B-UltraMedical|mmlupro=gemma-2-9b-it,False,False,6,5.023842487084104,0.627980310885513,0.0,False
0,bt,p2etg,2240,bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Llama-3.1-8B-UltraMedical|korbench=Qwen3-8B|livecodebench=NVIDIA-Nemotron-Nano-9B-v2|math500=Fin-R1|medqa=Llama-3.1-8B-Instruct|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,False,False,6,5.064486739856503,0.6330608424820628,0.24107142857142858,False
0,bt,p2etg,2688,bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Llama-3.1-8B-UltraMedical|korbench=Qwen3-8B|livecodebench=NVIDIA-Nemotron-Nano-9B-v2|math500=Fin-R1|medqa=Llama-3.1-8B-Instruct|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,False,False,6,5.064486739856503,0.6330608424820628,0.20089285714285715,False
0,bt,p2etg,3136,bbh=Llama-3.1-8B-UltraMedical|finqa=Qwen2.5-Coder-7B-Instruct|korbench=Qwen3-8B|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Llama-3.1-8B-Instruct|meld=gemma-2-9b-it|mmlupro=Fin-R1,False,False,5,4.805190991410906,0.6006488739263632,0.4575892857142857,False
0,bt,p2etg,3584,bbh=Llama-3.1-8B-UltraMedical|finqa=Qwen2.5-Coder-7B-Instruct|korbench=Qwen3-8B|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Llama-3.1-8B-Instruct|meld=gemma-2-9b-it|mmlupro=Fin-R1,False,False,5,4.805190991410906,0.6006488739263632,0.39955357142857145,False
0,bt,p2etg,4032,bbh=Llama-3.1-8B-UltraMedical|finqa=Qwen2.5-Coder-7B-Instruct|korbench=Qwen3-8B|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Llama-3.1-8B-Instruct|meld=gemma-2-9b-it|mmlupro=Fin-R1,False,False,5,4.805190991410906,0.6006488739263632,0.3325892857142857,False
0,bt,p2etg,4480,bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Llama-3.1-8B-UltraMedical|livecodebench=Qwen3-8B|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Llama-3.1-8B-Instruct|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,False,False,3,5.016532072640347,0.6270665090800434,0.5066964285714286,False
0,bt,p2etg,4928,bbh=Llama-3.1-8B-Instruct|finqa=Fin-R1|korbench=DeepSeek-R1-0528-Qwen3-8B|livecodebench=Qwen3-8B|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Llama-3.1-8B-UltraMedical|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,False,False,3,5.101716966195321,0.6377146207744151,0.43080357142857145,False
0,bt,p2etg,5376,bbh=NVIDIA-Nemotron-Nano-9B-v2|finqa=Fin-R1|korbench=Llama-3.1-8B-Instruct|livecodebench=Qwen3-8B|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-UltraMedical|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,False,False,1,5.132976225454579,0.6416220281818223,0.390625,False
