replicate,model,dataset,utility
0,DeepSeek-R1-0528-Qwen3-8B,emorynlp,0.00888585099111422
0,DeepSeek-R1-0528-Qwen3-8B,finqa,0.055647840531561354
0,DeepSeek-R1-0528-Qwen3-8B,humaneval,-0.3950437317784256
0,DeepSeek-R1-0528-Qwen3-8B,korbench,0.13714285714285707
0,DeepSeek-R1-0528-Qwen3-8B,math500,0.1857142857142855
0,DeepSeek-R1-0528-Qwen3-8B,mbpp,-0.28889432485322886
0,DeepSeek-R1-0528-Qwen3-8B,medqa,0.1673522812266267
0,DeepSeek-R1-0528-Qwen3-8B,meld,0.008699014111734016
0,Fin-R1,emorynlp,-0.01025290498974707
0,Fin-R1,finqa,0.01744186046511631
0,Fin-R1,humaneval,0.17638483965014573
0,Fin-R1,korbench,-0.12952380952380954
0,Fin-R1,math500,0.014285714285714124
0,Fin-R1,mbpp,0.15924657534246578
0,Fin-R1,medqa,-0.06451009723261036
0,Fin-R1,meld,-0.008312391262323637
0,GLM-Z1-9B-0414,emorynlp,0.014354066985646008
0,GLM-Z1-9B-0414,finqa,-0.002491694352159568
0,GLM-Z1-9B-0414,humaneval,-0.06851311953352768
0,GLM-Z1-9B-0414,korbench,0.11123809523809525
0,GLM-Z1-9B-0414,math500,0.18952380952380932
0,GLM-Z1-9B-0414,mbpp,0.06922700587084152
0,GLM-Z1-9B-0414,medqa,0.058152580403889265
0,GLM-Z1-9B-0414,meld,-0.062439590179779625
0,Intern-S1-mini,emorynlp,0.011619958988380086
0,Intern-S1-mini,finqa,0.04235880398671099
0,Intern-S1-mini,humaneval,-0.17346938775510196
0,Intern-S1-mini,korbench,0.14323809523809528
0,Intern-S1-mini,math500,0.17428571428571404
0,Intern-S1-mini,mbpp,-0.17343444227005872
0,Intern-S1-mini,medqa,0.03571428571428581
0,Intern-S1-mini,meld,-0.03150976222694768
0,Qwen2.5-Coder-7B-Instruct,emorynlp,-0.01025290498974707
0,Qwen2.5-Coder-7B-Instruct,finqa,-0.05232558139534882
0,Qwen2.5-Coder-7B-Instruct,humaneval,0.1997084548104956
0,Qwen2.5-Coder-7B-Instruct,korbench,-0.1340952380952381
0,Qwen2.5-Coder-7B-Instruct,math500,-0.11523809523809547
0,Qwen2.5-Coder-7B-Instruct,mbpp,0.20034246575342463
0,Qwen2.5-Coder-7B-Instruct,medqa,-0.21110695587135375
0,Qwen2.5-Coder-7B-Instruct,meld,0.01643147109994203
0,Qwen3-8B,emorynlp,-0.002050580997949303
0,Qwen3-8B,finqa,0.0539867109634552
0,Qwen3-8B,humaneval,0.048104956268221755
0,Qwen3-8B,korbench,0.11733333333333329
0,Qwen3-8B,math500,0.17809523809523797
0,Qwen3-8B,mbpp,-0.012964774951076175
0,Qwen3-8B,medqa,0.13294689603590126
0,Qwen3-8B,meld,0.03189638507635806
0,gemma-2-9b-it,emorynlp,0.0006835269993164528
0,gemma-2-9b-it,finqa,-0.019102990033222467
0,gemma-2-9b-it,humaneval,0.05976676384839652
0,gemma-2-9b-it,korbench,-0.13866666666666666
0,gemma-2-9b-it,math500,-0.32857142857142874
