seed,algorithm,feedback_mode,stopped,T_stop,exact_oracle_match,stable_train,blocking_pairs_train,resolved_fraction_at_stop,test_mean_score,test_welfare,normalized_test_welfare,n_checks,final_matching,unresolved_critical_final,unresolved_noncritical_final,T_first_oracle_hit,oracle_occupancy,longest_oracle_streak,num_matching_changes,T_first_train_stable,best_test_welfare,oracle_occupancy_after_10k,oracle_occupancy_after_25k,oracle_occupancy_after_50k,oracle_occupancy_after_100k
0,p2etg,replay,False,200000,False,False,2,0.39955357142857145,0.6454877689225631,5.163902151380505,0.8990600722606518,447,bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Llama-3.1-8B-Instruct|livecodebench=Qwen3-8B|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Llama-3.1-8B-UltraMedical|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,7,262,,0.0,0,75,,5.219733952904,0.0,0.0,0.0,0.0
1,p2etg,replay,False,200000,False,False,2,0.3794642857142857,0.6454877689225631,5.163902151380505,0.8990600722606518,447,bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Llama-3.1-8B-Instruct|livecodebench=Qwen3-8B|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Llama-3.1-8B-UltraMedical|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,6,272,,0.0,0,78,,5.207902151380504,0.0,0.0,0.0,0.0
2,p2etg,replay,False,200000,False,False,1,0.375,0.6565484976675023,5.252387981340019,1.0108427567291962,447,bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Qwen2.5-Coder-7B-Instruct|livecodebench=Qwen3-8B|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Llama-3.1-8B-UltraMedical|meld=gemma-2-9b-it|mmlupro=Llama-3.1-8B-Instruct,7,273,,0.0,0,59,,5.252387981340019,0.0,0.0,0.0,0.0
3,p2etg,replay,False,200000,False,False,4,0.3794642857142857,0.6360665090800435,5.088532072640348,0.8038462992301546,447,bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=gemma-2-9b-it|livecodebench=Qwen3-8B|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Llama-3.1-8B-Instruct|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=Llama-3.1-8B-UltraMedical,7,271,,0.0,0,103,,5.133017902599862,0.0,0.0,0.0,0.0
4,p2etg,replay,False,200000,False,False,1,0.40848214285714285,0.6456148922611482,5.164919138089186,0.9003448147376923,447,bbh=Qwen3-8B|finqa=Fin-R1|korbench=Qwen2.5-Coder-7B-Instruct|livecodebench=NVIDIA-Nemotron-Nano-9B-v2|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-UltraMedical|meld=gemma-2-9b-it|mmlupro=Llama-3.1-8B-Instruct,6,259,1344.0,0.0022371364653243847,1,58,1344.0,5.252387981340019,0.0,0.0,0.0,0.0
5,p2etg,replay,False,200000,False,False,1,0.41517857142857145,0.637761497084242,5.102091976673936,0.8209763015672957,447,bbh=NVIDIA-Nemotron-Nano-9B-v2|finqa=Fin-R1|korbench=Qwen2.5-Coder-7B-Instruct|livecodebench=Qwen3-8B|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-Instruct|meld=gemma-2-9b-it|mmlupro=Llama-3.1-8B-UltraMedical,6,256,,0.0,0,79,,5.1200760644239836,0.0,0.0,0.0,0.0
6,p2etg,replay,False,200000,False,False,3,0.40625,0.6270665090800435,5.016532072640348,0.7128898908942924,447,bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Llama-3.1-8B-UltraMedical|livecodebench=Qwen3-8B|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Llama-3.1-8B-Instruct|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,7,259,,0.0,0,64,,5.230978898432081,0.0,0.0,0.0,0.0
7,p2etg,replay,False,200000,False,False,2,0.421875,0.6454877689225631,5.163902151380505,0.8990600722606518,447,bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Llama-3.1-8B-Instruct|livecodebench=Qwen3-8B|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Llama-3.1-8B-UltraMedical|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,7,252,,0.0,0,55,,5.252387981340019,0.0,0.0,0.0,0.0
8,p2etg,replay,False,200000,False,False,2,0.39955357142857145,0.6232007683393027,4.985606146714422,0.6738216805236932,447,bbh=NVIDIA-Nemotron-Nano-9B-v2|finqa=Fin-R1|korbench=Llama-3.1-8B-UltraMedical|livecodebench=Qwen3-8B|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-Instruct|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,7,262,,0.0,0,84,,5.165716966195319,0.0,0.0,0.0,0.0
9,p2etg,replay,False,200000,False,False,2,0.39285714285714285,0.6454877689225631,5.163902151380505,0.8990600722606518,447,bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Llama-3.1-8B-Instruct|livecodebench=Qwen3-8B|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Llama-3.1-8B-UltraMedical|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,7,265,,0.0,0,89,,5.252387981340019,0.0,0.0,0.0,0.0
