seed,algorithm,feedback_mode,stopped,T_stop,exact_oracle_match,stable_train,blocking_pairs_train,resolved_fraction_at_stop,test_mean_score,test_welfare,normalized_test_welfare,n_checks,final_matching,unresolved_critical_final,unresolved_noncritical_final,T_first_oracle_hit,oracle_occupancy,longest_oracle_streak,num_matching_changes,T_first_train_stable,best_test_welfare,oracle_occupancy_after_10k,oracle_occupancy_after_25k,oracle_occupancy_after_50k,oracle_occupancy_after_100k
0,p2etg,replay,False,10000,True,True,0,0.4791666666666667,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,1,24,240,0.7577937649880095,243,15,240,2.7284213190639446,1.0,,,
1,p2etg,replay,False,10000,True,True,0,0.4583333333333333,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,2,24,480,0.3069544364508393,41,35,480,2.7284213190639446,1.0,,,
2,p2etg,replay,False,10000,True,True,0,0.5625,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,1,20,2496,0.4988009592326139,90,20,2496,2.7284213190639446,1.0,,,
3,p2etg,replay,False,10000,True,True,0,0.5625,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,2,19,48,0.6786570743405276,271,13,48,2.7284213190639446,1.0,,,
4,p2etg,replay,False,10000,True,True,0,0.5,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,2,22,240,0.22062350119904076,53,41,240,2.7284213190639446,1.0,,,
5,p2etg,replay,False,10000,False,False,1,0.5416666666666666,0.6548227210703339,2.6192908842813356,0.801343046187361,417,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,2,20,4872,0.10071942446043165,20,43,4872,2.7284213190639446,0.0,,,
6,p2etg,replay,False,10000,True,True,0,0.4791666666666667,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,2,23,96,0.8920863309352518,366,16,96,2.7284213190639446,1.0,,,
7,p2etg,replay,False,10000,False,False,1,0.4375,0.6548227210703339,2.6192908842813356,0.801343046187361,417,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,1,26,264,0.16786570743405277,22,17,264,2.7284213190639446,0.0,,,
8,p2etg,replay,False,10000,False,False,1,0.3958333333333333,0.6548227210703339,2.6192908842813356,0.801343046187361,417,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,2,27,144,0.3405275779376499,62,36,144,2.7284213190639446,0.0,,,
9,p2etg,replay,False,10000,True,True,0,0.4166666666666667,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,2,26,24,0.513189448441247,134,43,24,2.7284213190639446,1.0,,,
