seed,algorithm,feedback_mode,stopped,T_stop,exact_oracle_match,stable_train,blocking_pairs_train,resolved_fraction_at_stop,test_mean_score,test_welfare,normalized_test_welfare,n_checks,final_matching,unresolved_critical_final,unresolved_noncritical_final,T_first_oracle_hit,oracle_occupancy,longest_oracle_streak,num_matching_changes,T_first_train_stable,best_test_welfare,oracle_occupancy_after_10k,oracle_occupancy_after_25k,oracle_occupancy_after_50k,oracle_occupancy_after_100k
0,preflid,replay,False,200004,False,False,1,0.36830357142857145,0.6689901991841082,5.3519215934728654,0.9613707012588757,7143,emorynlp=glm-4-9b-chat|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=gemma-2-9b-it,5,278,,0.0,0,7142,,,0.0,0.0,0.0,0.0
1,preflid,replay,False,200004,True,True,0,0.35044642857142855,0.6728291234177692,5.382632987342154,1.0,7143,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,5,286,,0.0,0,7142,,,0.0,0.0,0.0,0.0
2,preflid,replay,False,200004,False,False,1,0.36830357142857145,0.6600424065399876,5.280339252319901,0.8713332495966071,7143,emorynlp=gemma-2-9b-it|finqa=GLM-Z1-9B-0414|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=DeepSeek-R1-0528-Qwen3-8B|mbpp=Fin-R1|medqa=Qwen3-8B|meld=glm-4-9b-chat,5,278,,0.0,0,7142,,,0.0,0.0,0.0,0.0
3,preflid,replay,False,200004,True,True,0,0.3638392857142857,0.6728291234177692,5.382632987342154,1.0,7143,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,6,279,,0.0,0,7142,,,0.0,0.0,0.0,0.0
4,preflid,replay,False,200004,False,False,1,0.36830357142857145,0.6689901991841082,5.3519215934728654,0.9613707012588757,7143,emorynlp=glm-4-9b-chat|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=gemma-2-9b-it,6,277,,0.0,0,7142,,,0.0,0.0,0.0,0.0
5,preflid,replay,False,200004,False,False,1,0.38169642857142855,0.658411971757379,5.267295774059032,0.8549269470853321,7143,emorynlp=gemma-2-9b-it|finqa=DeepSeek-R1-0528-Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=Qwen3-8B|meld=glm-4-9b-chat,5,272,,0.0,0,7142,,,0.0,0.0,0.0,0.0
6,preflid,replay,False,200004,True,True,0,0.375,0.6728291234177692,5.382632987342154,1.0,7143,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,5,275,,0.0,0,7142,,,0.0,0.0,0.0,0.0
7,preflid,replay,False,200004,False,False,2,0.3392857142857143,0.6612530364612474,5.29002429168998,0.8835152521699405,7143,emorynlp=gemma-2-9b-it|finqa=GLM-Z1-9B-0414|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=Qwen3-8B|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,6,290,,0.0,0,7142,,,0.0,0.0,0.0,0.0
8,preflid,replay,False,200004,True,True,0,0.33705357142857145,0.6728291234177692,5.382632987342154,1.0,7143,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,6,291,,0.0,0,7142,,,0.0,0.0,0.0,0.0
9,preflid,replay,False,200004,True,True,0,0.36160714285714285,0.6728291234177692,5.382632987342154,1.0,7143,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,5,281,,0.0,0,7142,,,0.0,0.0,0.0,0.0
