seed,algorithm,feedback_mode,stopped,T_stop,exact_oracle_match,stable_train,blocking_pairs_train,resolved_fraction_at_stop,test_mean_score,test_welfare,normalized_test_welfare,n_checks,final_matching,unresolved_critical_final,unresolved_noncritical_final,T_first_oracle_hit,oracle_occupancy,longest_oracle_streak,num_matching_changes,T_first_train_stable,best_test_welfare,oracle_occupancy_after_10k,oracle_occupancy_after_25k,oracle_occupancy_after_50k,oracle_occupancy_after_100k,false_certification,certify_profiles_total,certify_seconds_total,n_certifications,last_certify_profiles_checked,last_certify_search_complete,c
0,matching_id,bt,True,26976,True,True,0,0.9166666666666666,0.6821053297659861,2.7284213190639446,1.0,1124,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,3144,0.8790035587188612,966,9,3144,2.7284213190639446,1.0,1.0,,,False,765,0.029205615632236,241,14,True,0.1
1,matching_id,bt,False,100000,True,True,0,0.9583333333333334,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,48,0.9541636669066474,2967,29,48,2.7284213190639446,0.982138096507598,0.9952015355086372,1.0,1.0,False,719,0.0315575255081057,287,2,True,0.1
2,matching_id,bt,True,2856,True,True,0,0.8125,0.6821053297659861,2.7284213190639446,1.0,119,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,216,0.7310924369747899,59,11,216,2.7284213190639446,,,,,False,534,0.0122032081708312,63,146,True,0.1
3,matching_id,bt,False,100000,True,True,0,0.9583333333333334,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,288,0.9793616510679146,2854,18,288,2.7284213190639446,0.996534257531325,0.999360204734485,0.9990403071017274,1.0,False,3940,0.0582371656782925,242,2,True,0.1
4,matching_id,bt,False,100000,True,True,0,0.9583333333333334,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,1584,0.9628029757619392,3698,16,1584,2.7284213190639446,0.99306851506265,1.0,1.0,1.0,False,1398,0.0395337170921266,264,2,True,0.1
5,matching_id,bt,False,100000,True,True,0,0.9375,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,288,0.7741780657547396,859,63,288,2.7284213190639446,0.790989069581445,0.8592450415866922,0.9678502879078696,1.0,False,653,0.0290882806293666,240,2,True,0.1
6,matching_id,bt,False,100000,False,False,1,0.9375,0.6548227210703339,2.6192908842813356,0.801343046187361,4167,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,,,48,0.0715142788576913,289,8,48,2.7284213190639446,0.0007997867235403,0.0,0.0,0.0,False,16972,0.1726793246343732,135,2,True,0.1
7,matching_id,bt,True,7032,True,True,0,0.8958333333333334,0.6821053297659861,2.7284213190639446,1.0,293,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,96,0.7508532423208191,218,6,96,2.7284213190639446,,,,,False,3676,0.0468960823491215,122,26,True,0.1
8,matching_id,bt,False,100000,True,True,0,0.9583333333333334,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,24,0.9464842812574994,2113,26,24,2.7284213190639446,0.9949346840842442,0.999360204734485,1.0,1.0,False,887,0.0301231271587312,229,2,True,0.1
9,matching_id,bt,True,77544,True,True,0,0.9791666666666666,0.6821053297659861,2.7284213190639446,1.0,3231,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,648,0.9117920148560816,2940,11,648,2.7284213190639446,1.0,1.0,1.0,,False,944,0.0298293828964233,201,4,True,0.1
