seed,algorithm,feedback_mode,stopped,T_stop,exact_oracle_match,stable_train,blocking_pairs_train,resolved_fraction_at_stop,test_mean_score,test_welfare,normalized_test_welfare,n_checks,final_matching,unresolved_critical_final,unresolved_noncritical_final,T_first_oracle_hit,oracle_occupancy,longest_oracle_streak,num_matching_changes,T_first_train_stable,best_test_welfare,oracle_occupancy_after_10k,oracle_occupancy_after_25k,oracle_occupancy_after_50k,oracle_occupancy_after_100k
0,p2etg,bt,False,200000,False,False,2,0.8526785714285714,0.6454877689225631,5.163902151380505,0.8990600722606518,447,bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Llama-3.1-8B-Instruct|livecodebench=Qwen3-8B|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Llama-3.1-8B-UltraMedical|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,6,60,4480.0,0.16554809843400448,54,26,4480.0,5.252387981340019,0.14823529411764705,0.07908163265306123,0.0,0.0
1,p2etg,bt,False,200000,True,True,0,0.8415178571428571,0.6526827569267616,5.221462055414093,0.971774546358597,447,bbh=NVIDIA-Nemotron-Nano-9B-v2|finqa=Fin-R1|korbench=Qwen2.5-Coder-7B-Instruct|livecodebench=Qwen3-8B|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-UltraMedical|meld=gemma-2-9b-it|mmlupro=Llama-3.1-8B-Instruct,4,67,1792.0,0.11409395973154363,13,27,1792.0,5.221462055414093,0.11529411764705882,0.125,0.08928571428571429,0.07142857142857142
2,p2etg,bt,False,200000,False,False,3,0.84375,0.6270665090800435,5.016532072640348,0.7128898908942924,447,bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Llama-3.1-8B-UltraMedical|livecodebench=Qwen3-8B|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Llama-3.1-8B-Instruct|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,5,65,,0.0,0,23,,5.252387981340019,0.0,0.0,0.0,0.0
3,p2etg,bt,False,200000,False,False,3,0.8459821428571429,0.6270665090800435,5.016532072640348,0.7128898908942924,447,bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Llama-3.1-8B-UltraMedical|livecodebench=Qwen3-8B|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Llama-3.1-8B-Instruct|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,6,63,,0.0,0,56,,5.252387981340019,0.0,0.0,0.0,0.0
4,p2etg,bt,False,200000,True,True,0,0.84375,0.6526827569267616,5.221462055414093,0.971774546358597,447,bbh=NVIDIA-Nemotron-Nano-9B-v2|finqa=Fin-R1|korbench=Qwen2.5-Coder-7B-Instruct|livecodebench=Qwen3-8B|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-UltraMedical|meld=gemma-2-9b-it|mmlupro=Llama-3.1-8B-Instruct,5,65,36288.0,0.3870246085011186,115,33,36288.0,5.252387981340019,0.40705882352941175,0.4413265306122449,0.43154761904761907,0.5491071428571429
5,p2etg,bt,False,200000,False,False,3,0.8392857142857143,0.6270665090800435,5.016532072640348,0.7128898908942924,447,bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Llama-3.1-8B-UltraMedical|livecodebench=Qwen3-8B|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Llama-3.1-8B-Instruct|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,6,66,44800.0,0.04697986577181208,11,80,44800.0,5.252387981340019,0.04941176470588235,0.05357142857142857,0.041666666666666664,0.0
6,p2etg,bt,False,200000,True,True,0,0.8348214285714286,0.6526827569267616,5.221462055414093,0.971774546358597,447,bbh=NVIDIA-Nemotron-Nano-9B-v2|finqa=Fin-R1|korbench=Qwen2.5-Coder-7B-Instruct|livecodebench=Qwen3-8B|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-UltraMedical|meld=gemma-2-9b-it|mmlupro=Llama-3.1-8B-Instruct,4,70,5376.0,0.40492170022371365,54,35,5376.0,5.252387981340019,0.4164705882352941,0.3979591836734694,0.3482142857142857,0.45982142857142855
7,p2etg,bt,False,200000,False,False,3,0.8571428571428571,0.6270665090800435,5.016532072640348,0.7128898908942924,447,bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Llama-3.1-8B-UltraMedical|livecodebench=Qwen3-8B|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Llama-3.1-8B-Instruct|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,6,58,,0.0,0,47,,5.133017902599862,0.0,0.0,0.0,0.0
8,p2etg,bt,False,200000,False,False,1,0.8504464285714286,0.6565484976675023,5.252387981340019,1.0108427567291962,447,bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Qwen2.5-Coder-7B-Instruct|livecodebench=Qwen3-8B|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Llama-3.1-8B-UltraMedical|meld=gemma-2-9b-it|mmlupro=Llama-3.1-8B-Instruct,5,62,158592.0,0.09843400447427293,31,58,158592.0,5.252387981340019,0.10352941176470588,0.11224489795918367,0.13095238095238096,0.19642857142857142
9,p2etg,bt,False,200000,False,False,1,0.8616071428571429,0.637761497084242,5.102091976673936,0.8209763015672957,447,bbh=NVIDIA-Nemotron-Nano-9B-v2|finqa=Fin-R1|korbench=Qwen2.5-Coder-7B-Instruct|livecodebench=Qwen3-8B|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-Instruct|meld=gemma-2-9b-it|mmlupro=Llama-3.1-8B-UltraMedical,4,58,,0.0,0,29,,5.133017902599862,0.0,0.0,0.0,0.0
