matching,count,frequency,is_train_oracle
emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,269,0.538,True
emorynlp=gemma-2-9b-it|finqa=GLM-Z1-9B-0414|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=DeepSeek-R1-0528-Qwen3-8B|mbpp=Fin-R1|medqa=Qwen3-8B|meld=glm-4-9b-chat,65,0.13,False
emorynlp=glm-4-9b-chat|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=gemma-2-9b-it,56,0.112,False
emorynlp=glm-4-9b-chat|finqa=GLM-Z1-9B-0414|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=DeepSeek-R1-0528-Qwen3-8B|mbpp=Fin-R1|medqa=Qwen3-8B|meld=gemma-2-9b-it,23,0.046,False
emorynlp=gemma-2-9b-it|finqa=GLM-Z1-9B-0414|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=Qwen3-8B|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,17,0.034,False
emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Fin-R1|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Qwen2.5-Coder-7B-Instruct|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,11,0.022,False
emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=glm-4-9b-chat|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Qwen2.5-Coder-7B-Instruct|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=Fin-R1,9,0.018,False
emorynlp=Fin-R1|finqa=Qwen3-8B|humaneval=glm-4-9b-chat|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Qwen2.5-Coder-7B-Instruct|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=gemma-2-9b-it,7,0.014,False
emorynlp=glm-4-9b-chat|finqa=Qwen3-8B|humaneval=Fin-R1|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Qwen2.5-Coder-7B-Instruct|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=gemma-2-9b-it,5,0.01,False
emorynlp=gemma-2-9b-it|finqa=DeepSeek-R1-0528-Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=Qwen3-8B|meld=glm-4-9b-chat,5,0.01,False
emorynlp=gemma-2-9b-it|finqa=GLM-Z1-9B-0414|humaneval=Fin-R1|korbench=Intern-S1-mini|math500=DeepSeek-R1-0528-Qwen3-8B|mbpp=Qwen2.5-Coder-7B-Instruct|medqa=Qwen3-8B|meld=glm-4-9b-chat,4,0.008,False
emorynlp=glm-4-9b-chat|finqa=Intern-S1-mini|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Qwen3-8B|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=gemma-2-9b-it,3,0.006,False
emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=GLM-Z1-9B-0414|math500=Intern-S1-mini|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,3,0.006,False
emorynlp=gemma-2-9b-it|finqa=Intern-S1-mini|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=DeepSeek-R1-0528-Qwen3-8B|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=Qwen3-8B|meld=glm-4-9b-chat,3,0.006,False
