seed,algorithm,feedback_mode,stopped,T_stop,exact_oracle_match,stable_train,blocking_pairs_train,resolved_fraction_at_stop,test_mean_score,test_welfare,normalized_test_welfare,n_checks,final_matching,unresolved_critical_final,unresolved_noncritical_final,T_first_oracle_hit,oracle_occupancy,longest_oracle_streak,num_matching_changes,T_first_train_stable,best_test_welfare,oracle_occupancy_after_10k,oracle_occupancy_after_25k,oracle_occupancy_after_50k,oracle_occupancy_after_100k
0,preflid,bt,False,10002,True,True,0,0.9166666666666666,0.6821053297659861,2.7284213190639446,1.0,1667,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,,0.0,0,987,,,0.0,,,
1,preflid,bt,True,6066,False,False,1,0.8541666666666666,0.6548227210703339,2.6192908842813356,0.801343046187361,1012,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,,,,0.0,0,1010,,,,,,
2,preflid,bt,True,7614,True,True,0,0.8333333333333334,0.6821053297659861,2.7284213190639446,1.0,1270,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,,0.0,0,1268,,,,,,
3,preflid,bt,False,10002,True,True,0,0.875,0.6821053297659861,2.7284213190639446,1.0,1667,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,,0.0,0,981,,,0.0,,,
4,preflid,bt,False,10002,False,False,1,0.8958333333333334,0.6548227210703339,2.6192908842813356,0.801343046187361,1667,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,,,,0.0,0,1205,,,0.0,,,
5,preflid,bt,True,4692,True,True,0,0.875,0.6821053297659861,2.7284213190639446,1.0,783,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,,0.0,0,781,,,,,,
6,preflid,bt,True,2994,True,True,0,0.8333333333333334,0.6821053297659861,2.7284213190639446,1.0,500,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,,0.0,0,498,,,,,,
7,preflid,bt,False,10002,True,True,0,0.8541666666666666,0.6821053297659861,2.7284213190639446,1.0,1667,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,,0.0,0,1666,,,0.0,,,
8,preflid,bt,True,3270,False,False,1,0.8125,0.6548227210703339,2.6192908842813356,0.801343046187361,546,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,,,,0.0,0,544,,,,,,
9,preflid,bt,True,4368,False,False,1,0.8541666666666666,0.6548227210703339,2.6192908842813356,0.801343046187361,729,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,,,,0.0,0,727,,,,,,
10,preflid,bt,False,10002,True,True,0,0.8125,0.6821053297659861,2.7284213190639446,1.0,1667,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,,0.0,0,1375,,,0.0,,,
