seed,algorithm,feedback_mode,stopped,T_stop,exact_oracle_match,stable_train,blocking_pairs_train,resolved_fraction_at_stop,test_mean_score,test_welfare,normalized_test_welfare,n_checks,final_matching,unresolved_critical_final,unresolved_noncritical_final,T_first_oracle_hit,oracle_occupancy,longest_oracle_streak,num_matching_changes,T_first_train_stable,best_test_welfare,oracle_occupancy_after_10k,oracle_occupancy_after_25k,oracle_occupancy_after_50k,oracle_occupancy_after_100k,false_certification,certify_profiles_total,certify_seconds_total,n_certifications,last_certify_profiles_checked,last_certify_search_complete
0,matching_id,bt,False,200000,True,True,0,0.8415178571428571,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,2,69,5824.0,0.7762863534675615,330,22,5824.0,5.424264660245308,0.8047058823529412,0.8571428571428571,0.9821428571428571,1.0,False,29517,5.906064632348716,416,2,True
1,matching_id,bt,False,200000,True,True,0,0.8236607142857143,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,1,78,3136.0,0.9865771812080537,441,5,3136.0,5.501612253689841,1.0,1.0,1.0,1.0,False,28541,4.442169834394008,419,2,True
2,matching_id,bt,False,200000,True,True,0,0.8258928571428571,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,2,76,6720.0,0.9284116331096197,374,14,6720.0,5.382632987342154,0.9623529411764706,0.9923469387755102,1.0,1.0,False,27987,5.587910785339773,415,2,True
3,matching_id,bt,False,200000,True,True,0,0.8258928571428571,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,2,76,5824.0,0.9731543624161074,435,7,5824.0,5.382632987342154,1.0,1.0,1.0,1.0,False,26544,6.182292839046568,421,2,True
4,matching_id,bt,False,200000,False,False,1,0.8303571428571429,0.6600424065399876,5.280339252319901,0.8713332495966071,447,emorynlp=gemma-2-9b-it|finqa=GLM-Z1-9B-0414|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=DeepSeek-R1-0528-Qwen3-8B|mbpp=Fin-R1|medqa=Qwen3-8B|meld=glm-4-9b-chat,1,75,,0.0,0,11,,5.559847001398272,0.0,0.0,0.0,0.0,False,27911,6.073559422511607,419,2,True
5,matching_id,bt,False,200000,True,True,0,0.8102678571428571,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,2,83,6720.0,0.6778523489932886,241,18,6720.0,5.501612253689841,0.6988235294117647,0.6811224489795918,0.7857142857142857,1.0,False,22947,5.594604703132063,418,2,True
6,matching_id,bt,False,200000,True,True,0,0.8348214285714286,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,2,72,9408.0,0.7762863534675615,301,19,9408.0,5.4420980836493555,0.8117647058823529,0.8673469387755102,0.9196428571428571,1.0,False,28353,4.807298510335386,416,2,True
7,matching_id,bt,False,200000,True,True,0,0.8348214285714286,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,1,73,6272.0,0.9686800894854586,429,7,6272.0,5.382632987342154,1.0,1.0,1.0,1.0,False,309395,12.96851870790124,404,2,True
8,matching_id,bt,False,200000,True,True,0,0.8214285714285714,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,2,78,448.0,0.8187919463087249,321,16,448.0,5.409003558037667,0.8588235294117647,0.9056122448979592,0.9821428571428571,1.0,False,1045131,32.61506068427116,412,2,True
9,matching_id,bt,False,200000,True,True,0,0.8370535714285714,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,1,72,7616.0,0.9507829977628636,412,13,7616.0,5.382632987342154,0.9858823529411764,1.0,1.0,1.0,False,29061,4.382966758683324,389,2,True
10,matching_id,bt,False,200000,True,True,0,0.8191964285714286,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,2,79,4480.0,0.8299776286353467,366,12,4480.0,5.382632987342154,0.8682352941176471,0.9413265306122449,1.0,1.0,False,234429,11.39581949589774,409,2,True
11,matching_id,bt,False,200000,True,True,0,0.8169642857142857,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,3,79,3136.0,0.941834451901566,383,18,3136.0,5.382632987342154,0.9741176470588235,0.9974489795918368,1.0,1.0,False,29829,5.278934858273715,414,2,True
12,matching_id,bt,False,200000,True,True,0,0.8303571428571429,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,2,74,1792.0,0.970917225950783,427,10,1792.0,5.501612253689841,1.0,1.0,1.0,1.0,False,9142686,235.99197137355804,418,2,True
13,matching_id,bt,False,200000,True,True,0,0.8348214285714286,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,2,72,5824.0,0.9395973154362416,350,20,5824.0,5.501612253689841,0.971764705882353,0.9693877551020408,1.0,1.0,False,28707,6.458304782398045,421,2,True
14,matching_id,bt,False,200000,True,True,0,0.8482142857142857,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,0,68,3584.0,0.8456375838926175,373,8,3584.0,5.382632987342154,0.8776470588235294,0.951530612244898,1.0,1.0,False,10636841,270.58572863275185,418,81242,False
15,matching_id,bt,False,200000,True,True,0,0.8415178571428571,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,1,70,10752.0,0.8187919463087249,343,22,10752.0,5.427949699615388,0.8611764705882353,0.9107142857142857,1.0,1.0,False,597402,20.983155872207135,416,80762,False
16,matching_id,bt,False,200000,True,True,0,0.8415178571428571,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,1,70,7616.0,0.9261744966442953,398,13,7616.0,5.382632987342154,0.971764705882353,1.0,1.0,1.0,False,30434,5.41527030011639,412,2,True
17,matching_id,bt,False,200000,True,True,0,0.8214285714285714,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,1,79,3136.0,0.7807606263982103,253,29,3136.0,5.476581449254002,0.8117647058823529,0.8316326530612245,0.8154761904761905,0.8169642857142857,False,30037,5.8482700837776065,417,2,True
18,matching_id,bt,False,200000,True,True,0,0.8303571428571429,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,1,75,4480.0,0.9217002237136466,392,16,4480.0,5.436264660245309,0.9552941176470588,1.0,1.0,1.0,False,28571,4.146070471499115,404,2,True
19,matching_id,bt,False,200000,True,True,0,0.8258928571428571,0.6728291234177692,5.382632987342154,1.0,447,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,1,77,4928.0,0.9731543624161074,430,13,4928.0,5.5905583952675615,1.0,1.0,1.0,1.0,False,29634,5.273995875846595,417,2,True
