task,model,count,frequency,oracle_train_assignment,is_oracle_assignment
emorynlp,gemma-2-9b-it,392,0.784,gemma-2-9b-it,True
emorynlp,glm-4-9b-chat,94,0.188,gemma-2-9b-it,False
emorynlp,Fin-R1,9,0.018,gemma-2-9b-it,False
emorynlp,GLM-Z1-9B-0414,4,0.008,gemma-2-9b-it,False
emorynlp,DeepSeek-R1-0528-Qwen3-8B,1,0.002,gemma-2-9b-it,False
finqa,Qwen3-8B,361,0.722,Qwen3-8B,True
finqa,GLM-Z1-9B-0414,113,0.226,Qwen3-8B,False
finqa,Intern-S1-mini,12,0.024,Qwen3-8B,False
finqa,DeepSeek-R1-0528-Qwen3-8B,7,0.014,Qwen3-8B,False
finqa,Fin-R1,5,0.01,Qwen3-8B,False
finqa,gemma-2-9b-it,1,0.002,Qwen3-8B,False
finqa,glm-4-9b-chat,1,0.002,Qwen3-8B,False
humaneval,Qwen2.5-Coder-7B-Instruct,455,0.91,Qwen2.5-Coder-7B-Instruct,True
humaneval,glm-4-9b-chat,23,0.046,Qwen2.5-Coder-7B-Instruct,False
humaneval,Fin-R1,22,0.044,Qwen2.5-Coder-7B-Instruct,False
korbench,Intern-S1-mini,483,0.966,Intern-S1-mini,True
korbench,GLM-Z1-9B-0414,8,0.016,Intern-S1-mini,False
korbench,Qwen3-8B,5,0.01,Intern-S1-mini,False
korbench,DeepSeek-R1-0528-Qwen3-8B,4,0.008,Intern-S1-mini,False
math500,GLM-Z1-9B-0414,373,0.746,GLM-Z1-9B-0414,True
math500,DeepSeek-R1-0528-Qwen3-8B,100,0.2,GLM-Z1-9B-0414,False
math500,Qwen3-8B,22,0.044,GLM-Z1-9B-0414,False
math500,Intern-S1-mini,5,0.01,GLM-Z1-9B-0414,False
mbpp,Fin-R1,455,0.91,Fin-R1,True
mbpp,Qwen2.5-Coder-7B-Instruct,45,0.09,Fin-R1,False
medqa,DeepSeek-R1-0528-Qwen3-8B,388,0.776,DeepSeek-R1-0528-Qwen3-8B,True
medqa,Qwen3-8B,112,0.224,DeepSeek-R1-0528-Qwen3-8B,False
meld,glm-4-9b-chat,382,0.764,glm-4-9b-chat,True
meld,gemma-2-9b-it,107,0.214,glm-4-9b-chat,False
meld,Fin-R1,9,0.018,glm-4-9b-chat,False
meld,GLM-Z1-9B-0414,2,0.004,glm-4-9b-chat,False
