seed,algorithm,feedback_mode,stopped,T_stop,exact_oracle_match,stable_train,blocking_pairs_train,resolved_fraction_at_stop,test_mean_score,test_welfare,normalized_test_welfare,n_checks,final_matching,unresolved_critical_final,unresolved_noncritical_final,T_first_oracle_hit,oracle_occupancy,longest_oracle_streak,num_matching_changes,T_first_train_stable,best_test_welfare,oracle_occupancy_after_10k,oracle_occupancy_after_25k,oracle_occupancy_after_50k,oracle_occupancy_after_100k
0,preflid,bt,False,200004,True,True,0,0.8325892857142857,0.6728291234177692,5.382632987342154,1.0,7143,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,1,74,,0.0,0,7142,,,0.0,0.0,0.0,0.0
1,preflid,bt,False,200004,True,True,0,0.8392857142857143,0.6728291234177692,5.382632987342154,1.0,7143,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,1,71,,0.0,0,7142,,,0.0,0.0,0.0,0.0
2,preflid,bt,False,200004,True,True,0,0.8191964285714286,0.6728291234177692,5.382632987342154,1.0,7143,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,2,79,,0.0,0,7142,,,0.0,0.0,0.0,0.0
3,preflid,bt,False,200004,True,True,0,0.8214285714285714,0.6728291234177692,5.382632987342154,1.0,7143,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,1,79,,0.0,0,7142,,,0.0,0.0,0.0,0.0
4,preflid,bt,False,200004,True,True,0,0.8325892857142857,0.6728291234177692,5.382632987342154,1.0,7143,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,1,74,,0.0,0,7142,,,0.0,0.0,0.0,0.0
5,preflid,bt,False,200004,True,True,0,0.8415178571428571,0.6728291234177692,5.382632987342154,1.0,7143,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,1,70,,0.0,0,7142,,,0.0,0.0,0.0,0.0
6,preflid,bt,False,200004,True,True,0,0.8102678571428571,0.6728291234177692,5.382632987342154,1.0,7143,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,2,83,,0.0,0,7142,,,0.0,0.0,0.0,0.0
7,preflid,bt,False,200004,True,True,0,0.8348214285714286,0.6728291234177692,5.382632987342154,1.0,7143,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,1,73,,0.0,0,7142,,,0.0,0.0,0.0,0.0
8,preflid,bt,False,200004,True,True,0,0.8370535714285714,0.6728291234177692,5.382632987342154,1.0,7143,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,1,72,,0.0,0,7142,,,0.0,0.0,0.0,0.0
9,preflid,bt,False,200004,True,True,0,0.8169642857142857,0.6728291234177692,5.382632987342154,1.0,7143,emorynlp=gemma-2-9b-it|finqa=Qwen3-8B|humaneval=Qwen2.5-Coder-7B-Instruct|korbench=Intern-S1-mini|math500=GLM-Z1-9B-0414|mbpp=Fin-R1|medqa=DeepSeek-R1-0528-Qwen3-8B|meld=glm-4-9b-chat,2,80,,0.0,0,7142,,,0.0,0.0,0.0,0.0
