seed,algorithm,feedback_mode,stopped,T_stop,exact_oracle_match,stable_train,blocking_pairs_train,resolved_fraction_at_stop,test_mean_score,test_welfare,normalized_test_welfare,n_checks,final_matching,unresolved_critical_final,unresolved_noncritical_final,T_first_oracle_hit,oracle_occupancy,longest_oracle_streak,num_matching_changes,T_first_train_stable,best_test_welfare,oracle_occupancy_after_10k,oracle_occupancy_after_25k,oracle_occupancy_after_50k,oracle_occupancy_after_100k,false_certification,certify_profiles_total,certify_seconds_total,n_certifications,last_certify_profiles_checked,last_certify_search_complete
0,matching_id,bt,False,10000,True,True,0,0.875,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,1,5,3144,0.6738609112709832,259,9,3144,2.7284213190639446,1.0,,,,False,615,0.023787000915035605,172,2,True
1,matching_id,bt,False,10000,True,True,0,0.875,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,1,5,48,0.7026378896882494,123,21,48,2.7284213190639446,1.0,,,,False,381,0.015873333206400275,118,2,True
2,matching_id,bt,True,2856,True,True,0,0.8125,0.6821053297659861,2.7284213190639446,1.0,119,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,0,9,216,0.7310924369747899,59,11,216,2.7284213190639446,,,,,False,534,0.012649414828047156,63,146,True
3,matching_id,bt,False,10000,True,True,0,0.8541666666666666,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,1,6,288,0.8249400479616307,315,12,288,2.7284213190639446,1.0,,,,False,454,0.017398795811459422,118,2,True
4,matching_id,bt,False,10000,True,True,0,0.8541666666666666,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,1,6,1584,0.6906474820143885,271,12,1584,2.7284213190639446,1.0,,,,False,1160,0.026511236559599638,145,2,True
5,matching_id,bt,False,10000,True,True,0,0.875,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,2,4,288,0.6235011990407674,189,19,288,2.7284213190639446,1.0,,,,False,439,0.018220590660348535,133,2,True
6,matching_id,bt,False,10000,True,True,0,0.8541666666666666,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,1,6,48,0.709832134292566,287,7,48,2.7284213190639446,1.0,,,,False,16724,0.16978333774022758,109,51,True
7,matching_id,bt,True,7032,True,True,0,0.8958333333333334,0.6821053297659861,2.7284213190639446,1.0,293,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,0,5,96,0.7508532423208191,218,6,96,2.7284213190639446,,,,,False,3676,0.04763908195309341,122,26,True
8,matching_id,bt,False,10000,True,True,0,0.8541666666666666,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,1,6,24,0.5107913669064749,68,20,24,2.7284213190639446,1.0,,,,False,709,0.020424459828063846,140,2,True
9,matching_id,bt,False,10000,True,True,0,0.8333333333333334,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,1,7,648,0.31654676258992803,126,11,648,2.7284213190639446,1.0,,,,False,818,0.02295433124527335,139,2,True
