seed,algorithm,feedback_mode,stopped,T_stop,exact_oracle_match,stable_train,blocking_pairs_train,resolved_fraction_at_stop,test_mean_score,test_welfare,normalized_test_welfare,n_checks,final_matching,unresolved_critical_final,unresolved_noncritical_final,T_first_oracle_hit,oracle_occupancy,longest_oracle_streak,num_matching_changes,T_first_train_stable,best_test_welfare,oracle_occupancy_after_10k,oracle_occupancy_after_25k,oracle_occupancy_after_50k,oracle_occupancy_after_100k,false_certification,certify_profiles_total,certify_seconds_total,n_certifications,last_certify_profiles_checked,last_certify_search_complete
0,p2etg,bt,False,10000,True,True,0,0.8333333333333334,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,1,7,504.0,0.7362110311750599,119,25,504.0,2.7284213190639446,1.0,,,,,,,,,
1,p2etg,bt,False,10000,False,False,1,0.8333333333333334,0.6548227210703339,2.6192908842813356,0.801343046187361,417,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,1,7,72.0,0.0335731414868105,5,14,72.0,2.7284213190639446,0.0,,,,,,,,,
2,p2etg,bt,False,10000,True,True,0,0.875,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,1,5,144.0,0.8848920863309353,249,16,144.0,2.7284213190639446,1.0,,,,,,,,,
3,p2etg,bt,False,10000,True,True,0,0.8541666666666666,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,1,6,48.0,0.9760191846522782,331,11,48.0,2.7284213190639446,1.0,,,,,,,,,
4,p2etg,bt,False,10000,False,False,1,0.8541666666666666,0.6548227210703339,2.6192908842813356,0.801343046187361,417,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,1,6,48.0,0.3333333333333333,116,21,48.0,2.7284213190639446,0.0,,,,,,,,,
5,p2etg,bt,False,10000,True,True,0,0.8958333333333334,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,1,4,24.0,0.7218225419664268,262,11,24.0,2.7284213190639446,1.0,,,,,,,,,
6,p2etg,bt,False,10000,False,False,1,0.8541666666666666,0.6548227210703339,2.6192908842813356,0.801343046187361,417,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,1,6,72.0,0.3237410071942446,134,4,72.0,2.7284213190639446,0.0,,,,,,,,,
7,p2etg,bt,False,10000,False,False,1,0.8958333333333334,0.6548227210703339,2.6192908842813356,0.801343046187361,417,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,1,4,168.0,0.0023980815347721,1,5,168.0,2.7284213190639446,0.0,,,,,,,,,
8,p2etg,bt,False,10000,True,True,0,0.8541666666666666,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,1,6,72.0,0.9424460431654677,220,17,72.0,2.7284213190639446,1.0,,,,,,,,,
9,p2etg,bt,False,10000,True,True,0,0.875,0.6821053297659861,2.7284213190639446,1.0,417,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,1,5,72.0,0.9952038369304556,415,2,72.0,2.7284213190639446,1.0,,,,,,,,,
